Using cuda device
Logging to ./ppo_marl_tb/PPO_18
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 101      |
|    ep_rew_mean     | -133     |
| time/              |          |
|    fps             | 538      |
|    iterations      | 1        |
|    time_elapsed    | 1        |
|    total_timesteps | 600      |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 101          |
|    ep_rew_mean          | -126         |
| time/                   |              |
|    fps                  | 443          |
|    iterations           | 2            |
|    time_elapsed         | 2            |
|    total_timesteps      | 1200         |
| train/                  |              |
|    approx_kl            | 0.0066559175 |
|    clip_fraction        | 0.0338       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.61        |
|    explained_variance   | 0.0232       |
|    learning_rate        | 0.0003       |
|    loss                 | 104          |
|    n_updates            | 10           |
|    policy_gradient_loss | -0.0123      |
|    value_loss           | 293          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -130        |
| time/                   |             |
|    fps                  | 445         |
|    iterations           | 3           |
|    time_elapsed         | 4           |
|    total_timesteps      | 1800        |
| train/                  |             |
|    approx_kl            | 0.005146443 |
|    clip_fraction        | 0.0156      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.6        |
|    explained_variance   | 0.176       |
|    learning_rate        | 0.0003      |
|    loss                 | 49.3        |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.00518    |
|    value_loss           | 189         |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 101          |
|    ep_rew_mean          | -127         |
| time/                   |              |
|    fps                  | 455          |
|    iterations           | 4            |
|    time_elapsed         | 5            |
|    total_timesteps      | 2400         |
| train/                  |              |
|    approx_kl            | 0.0036096391 |
|    clip_fraction        | 0.0145       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.59        |
|    explained_variance   | -0.127       |
|    learning_rate        | 0.0003       |
|    loss                 | 108          |
|    n_updates            | 30           |
|    policy_gradient_loss | -0.00925     |
|    value_loss           | 240          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 101          |
|    ep_rew_mean          | -122         |
| time/                   |              |
|    fps                  | 472          |
|    iterations           | 5            |
